Name,season,Age,Hometown,Occupation,Outcome,Place,Ref
Whitney Bischoff[7][8],19,29,"Louisville, Kentucky",Fertility Nurse,Winner,1,[9]
Trina Scherenberg[14][29],19,33,"Algonquin, Illinois",Special Education Teacher,Week 3,16–18,[27]
Tracy Darakis[28],19,29,"Wellington, Florida",Fourth Grade Teacher,Week 3,16–18,[27]
Tara Eddings[7][34],19,26,"Fort Lauderdale, Florida",Sport Fishing Enthusiast,Week 2,19–23,[30]
Tandra Steiner[7],19,30,"Sandy, Utah",Executive Assistant,Week 2,19–23,[30]
Samantha Steffen[14][20],19,27,"Indianapolis, Indiana",Fashion Designer,Week 5,10–11,[18]
Reegan Cornwell[14],19,28,"Manhattan Beach, California",Cadaver Tissue Saleswoman,Week 1,24–30,[33]
Nikki Delventhal[19],19,26,"Hasbrouck Heights, New Jersey",Former NFL Cheerleader,Week 4,12–14,[22]
Nicole Meacham[38][39],19,31,"Scottsdale, Arizona",Real Estate Agent,Week 1,24–30,[33]
Michelle Davis[7],19,25,"Provo, Utah",Wedding Cake Baker,Week 1,24–30,[33]
Megan Bell[7],19,24,"Brentwood, Tennessee",Make-Up Artist,Week 6,7 (quit),[16]
Mackenzie Deonigi[7],19,21,"Maple Valley, Washington",Dental Assistant,Week 5,10–11,[18]
Kimberly Sherbach[32],19,28,"Wantagh, New York",Yoga Instructor,Week 2,19–23,[30][33]
Kelsey Poe[8][17],19,28,"Hudsonville, Michigan",Guidance Counselor,Week 6,8,[18]
Kara Wilson[37],19,25,"Brownsville, Kentucky",High School Soccer Coach,Week 1,24–30,[33]
Kaitlyn Bristowe[12],19,29,"Leduc, Alberta",Dance Instructor,Week 9,3,[13]
Juelia Kinney[7][23],19,30,"Beaverton, Oregon",Esthetician,Week 4,12–14,[22]
Jordan Branch[31],19,24,"Windsor, Colorado",Student,Week 2,19–23,[30]
Jillian Anderson[24][25],19,25,"Howland, Ohio",News Producer,Week 4,15,[22]
Jade Roper[8][14],19,28,"Gering, Nebraska",Cosmetics Developer,Week 8,4,[15]
Carly Waddell[3],19,29,"Arlington, Texas",Cruise Ship Singer,Week 7,5,[15]
Brittany Fetkin[36],19,26,"Temecula, California",WWE Diva-in-Training,Week 1,24–30,[33]
Britt Nilsson[8][14],19,27,"Wolcott Mills, Michigan",Waitress,Week 7,6,[15]
Bo Stanley[35],19,25,"Carpinteria, California",Plus-Size Model,Week 1,24–30,[33]
Becca Tilley[10][11],19,25,"Shreveport, Louisiana",Chiropractic Assistant,Runner-up,2,[9]
Ashley Salter[21],19,24,"Vinings, Georgia",Hair Stylist,Week 4,12–14,[22]
Ashley Iaconetti[8][19],19,26,"Great Falls, Virginia",Journalist,Week 6,9,[18]
Amber James[7][26],19,29,"Kankakee, Illinois",Bartender,Week 3,16–18,[27]
Amanda Goerlitz[29],19,24,"Lake in the Hills, Illinois",Ballet Teacher,Week 1,24–30,[33]
Alissa Giambrone[19],19,24,"Hamilton, New Jersey",Flight Attendant,Week 2,19–23,[30]
